pair_id,subject_id,gesture,distance,modality,video_path,output_dir,status,frames_extracted,fps,duration_original_sec,trim_start_sec,trim_end_sec,duration_after_trim_sec,width,height
PAIR_00001,4F_S001,doctor,4_feet,NIR,/data/Sajjan_Singh/gesture_recognition/data/raw/NIR/nir/4_feet/doctor/20260303154701830.mp4,/data/Sajjan_Singh/gesture_recognition/data/processed/frames_trimmed/NIR/4_feet/doctor/4F_S001/PAIR_00001,success,84,25.074294205052006,5.384,1.0,1.0,3.3840000000000003,720,960
PAIR_00002,4F_S002,doctor,4_feet,NIR,/data/Sajjan_Singh/gesture_recognition/data/raw/NIR/nir/4_feet/doctor/20260303155208958.mp4,/data/Sajjan_Singh/gesture_recognition/data/processed/frames_trimmed/NIR/4_feet/doctor/4F_S002/PAIR_00002,success,86,25.04112593675745,5.471,1.0,1.0,3.471,720,960
PAIR_00003,4F_S003,doctor,4_feet,NIR,/data/Sajjan_Singh/gesture_recognition/data/raw/NIR/nir/4_feet/doctor/20260303160149432.mp4,/data/Sajjan_Singh/gesture_recognition/data/processed/frames_trimmed/NIR/4_feet/doctor/4F_S003/PAIR_00003,success,87,25.009127418765974,5.478,1.0,1.0,3.4779999999999998,720,960
PAIR_00004,4F_S004,doctor,4_feet,NIR,/data/Sajjan_Singh/gesture_recognition/data/raw/NIR/nir/4_feet/doctor/20260303161125449.mp4,/data/Sajjan_Singh/gesture_recognition/data/processed/frames_trimmed/NIR/4_feet/doctor/4F_S004/PAIR_00004,success,91,25.035260930888576,5.672,1.0,1.0,3.6719999999999997,720,960
PAIR_00005,4F_S005,doctor,4_feet,NIR,/data/Sajjan_Singh/gesture_recognition/data/raw/NIR/nir/4_feet/doctor/20260303161400573.mp4,/data/Sajjan_Singh/gesture_recognition/data/processed/frames_trimmed/NIR/4_feet/doctor/4F_S005/PAIR_00005,success,84,25.04638218923933,5.39,1.0,1.0,3.3899999999999997,720,960
PAIR_00006,4F_S006,doctor,4_feet,NIR,/data/Sajjan_Singh/gesture_recognition/data/raw/NIR/nir/4_feet/doctor/20260303161659874.mp4,/data/Sajjan_Singh/gesture_recognition/data/processed/frames_trimmed/NIR/4_feet/doctor/4F_S006/PAIR_00006,success,79,25.024248302618815,5.155,1.0,1.0,3.1550000000000002,720,960
PAIR_00007,4F_S007,doctor,4_feet,NIR,/data/Sajjan_Singh/gesture_recognition/data/raw/NIR/nir/4_feet/doctor/20260303162723511.mp4,/data/Sajjan_Singh/gesture_recognition/data/processed/frames_trimmed/NIR/4_feet/doctor/4F_S007/PAIR_00007,success,88,25.0,5.52,1.0,1.0,3.5199999999999996,720,960
PAIR_00008,4F_S008,doctor,4_feet,NIR,/data/Sajjan_Singh/gesture_recognition/data/raw/NIR/nir/4_feet/doctor/20260303163030280.mp4,/data/Sajjan_Singh/gesture_recognition/data/processed/frames_trimmed/NIR/4_feet/doctor/4F_S008/PAIR_00008,success,73,25.03052503052503,4.914,1.0,1.0,2.9139999999999997,720,960
PAIR_00009,4F_S009,doctor,4_feet,NIR,/data/Sajjan_Singh/gesture_recognition/data/raw/NIR/nir/4_feet/doctor/20260303163441824.mp4,/data/Sajjan_Singh/gesture_recognition/data/processed/frames_trimmed/NIR/4_feet/doctor/4F_S009/PAIR_00009,success,88,25.013594344752583,5.517,1.0,1.0,3.5170000000000003,720,960
PAIR_00010,4F_S010,doctor,4_feet,NIR,/data/Sajjan_Singh/gesture_recognition/data/raw/NIR/nir/4_feet/doctor/20260303163947452.mp4,/data/Sajjan_Singh/gesture_recognition/data/processed/frames_trimmed/NIR/4_feet/doctor/4F_S010/PAIR_00010,success,80,24.961300309597522,5.168,1.0,1.0,3.168,720,960
PAIR_00011,4F_S011,doctor,4_feet,NIR,/data/Sajjan_Singh/gesture_recognition/data/raw/NIR/nir/4_feet/doctor/20260303164239829.mp4,/data/Sajjan_Singh/gesture_recognition/data/processed/frames_trimmed/NIR/4_feet/doctor/4F_S011/PAIR_00011,success,82,25.0,5.32,1.0,1.0,3.3200000000000003,720,960
PAIR_00012,4F_S012,doctor,4_feet,NIR,/data/Sajjan_Singh/gesture_recognition/data/raw/NIR/nir/4_feet/doctor/20260303164912297.mp4,/data/Sajjan_Singh/gesture_recognition/data/processed/frames_trimmed/NIR/4_feet/doctor/4F_S012/PAIR_00012,success,74,24.979854955680903,4.964,1.0,1.0,2.9640000000000004,720,960
PAIR_00013,4F_S013,doctor,4_feet,NIR,/data/Sajjan_Singh/gesture_recognition/data/raw/NIR/nir/4_feet/doctor/20260303165124684.mp4,/data/Sajjan_Singh/gesture_recognition/data/processed/frames_trimmed/NIR/4_feet/doctor/4F_S013/PAIR_00013,success,79,25.01454333915067,5.157,1.0,1.0,3.157,720,960
PAIR_00014,4F_S014,doctor,4_feet,NIR,/data/Sajjan_Singh/gesture_recognition/data/raw/NIR/nir/4_feet/doctor/20260303165336677.mp4,/data/Sajjan_Singh/gesture_recognition/data/processed/frames_trimmed/NIR/4_feet/doctor/4F_S014/PAIR_00014,success,83,25.032691948440128,5.353,1.0,1.0,3.3529999999999998,720,960
PAIR_00015,4F_S015,doctor,4_feet,NIR,/data/Sajjan_Singh/gesture_recognition/data/raw/NIR/nir/4_feet/doctor/20260303165533723.mp4,/data/Sajjan_Singh/gesture_recognition/data/processed/frames_trimmed/NIR/4_feet/doctor/4F_S015/PAIR_00015,success,65,25.021570319240723,4.636,1.0,1.0,2.636,720,960
PAIR_00016,4F_S016,doctor,4_feet,NIR,/data/Sajjan_Singh/gesture_recognition/data/raw/NIR/nir/4_feet/doctor/20260303235158692.mp4,/data/Sajjan_Singh/gesture_recognition/data/processed/frames_trimmed/NIR/4_feet/doctor/4F_S016/PAIR_00016,success,79,25.019394879751747,5.156,1.0,1.0,3.1559999999999997,720,960
PAIR_00017,4F_S017,doctor,4_feet,NIR,/data/Sajjan_Singh/gesture_recognition/data/raw/NIR/nir/4_feet/doctor/20260304000135911.mp4,/data/Sajjan_Singh/gesture_recognition/data/processed/frames_trimmed/NIR/4_feet/doctor/4F_S017/PAIR_00017,success,83,25.06078174677389,5.347,1.0,1.0,3.3470000000000004,720,960
PAIR_00018,4F_S018,doctor,4_feet,NIR,/data/Sajjan_Singh/gesture_recognition/data/raw/NIR/nir/4_feet/doctor/20260304000804948.mp4,/data/Sajjan_Singh/gesture_recognition/data/processed/frames_trimmed/NIR/4_feet/doctor/4F_S018/PAIR_00018,success,77,25.009846396218983,5.078,1.0,1.0,3.0780000000000003,720,960
PAIR_00019,4F_S019,doctor,4_feet,NIR,/data/Sajjan_Singh/gesture_recognition/data/raw/NIR/nir/4_feet/doctor/20260304001657006.mp4,/data/Sajjan_Singh/gesture_recognition/data/processed/frames_trimmed/NIR/4_feet/doctor/4F_S019/PAIR_00019,success,87,25.027203482045703,5.514,1.0,1.0,3.5140000000000002,720,960
PAIR_00020,4F_S020,doctor,4_feet,NIR,/data/Sajjan_Singh/gesture_recognition/data/raw/NIR/nir/4_feet/doctor/20260304002546859.mp4,/data/Sajjan_Singh/gesture_recognition/data/processed/frames_trimmed/NIR/4_feet/doctor/4F_S020/PAIR_00020,success,84,25.032449471537177,5.393,1.0,1.0,3.393,720,960
PAIR_00021,4F_S021,doctor,4_feet,NIR,/data/Sajjan_Singh/gesture_recognition/data/raw/NIR/nir/4_feet/doctor/20260304003015370.mp4,/data/Sajjan_Singh/gesture_recognition/data/processed/frames_trimmed/NIR/4_feet/doctor/4F_S021/PAIR_00021,success,81,24.99522991795459,5.241,1.0,1.0,3.2409999999999997,720,960
PAIR_00022,4F_S022,doctor,4_feet,NIR,/data/Sajjan_Singh/gesture_recognition/data/raw/NIR/nir/4_feet/doctor/20260304003519325.mp4,/data/Sajjan_Singh/gesture_recognition/data/processed/frames_trimmed/NIR/4_feet/doctor/4F_S022/PAIR_00022,success,86,25.03681885125184,5.432,1.0,1.0,3.4320000000000004,720,960
PAIR_00023,4F_S023,doctor,4_feet,NIR,/data/Sajjan_Singh/gesture_recognition/data/raw/NIR/nir/4_feet/doctor/20260304003953933.mp4,/data/Sajjan_Singh/gesture_recognition/data/processed/frames_trimmed/NIR/4_feet/doctor/4F_S023/PAIR_00023,success,79,25.028879476318828,5.194,1.0,1.0,3.194,720,960
PAIR_00024,4F_S024,doctor,4_feet,NIR,/data/Sajjan_Singh/gesture_recognition/data/raw/NIR/nir/4_feet/doctor/20260304004416693.mp4,/data/Sajjan_Singh/gesture_recognition/data/processed/frames_trimmed/NIR/4_feet/doctor/4F_S024/PAIR_00024,success,80,25.014431402732345,5.197,1.0,1.0,3.197,720,960
PAIR_00025,4F_S025,doctor,4_feet,NIR,/data/Sajjan_Singh/gesture_recognition/data/raw/NIR/nir/4_feet/doctor/20260304004949219.mp4,/data/Sajjan_Singh/gesture_recognition/data/processed/frames_trimmed/NIR/4_feet/doctor/4F_S025/PAIR_00025,success,73,25.0,4.92,1.0,1.0,2.92,720,960
PAIR_00026,4F_S026,doctor,4_feet,NIR,/data/Sajjan_Singh/gesture_recognition/data/raw/NIR/nir/4_feet/doctor/20260304005441700.mp4,/data/Sajjan_Singh/gesture_recognition/data/processed/frames_trimmed/NIR/4_feet/doctor/4F_S026/PAIR_00026,success,85,24.930232558139537,5.375,1.0,1.0,3.375,720,960
PAIR_00027,4F_S027,doctor,4_feet,NIR,/data/Sajjan_Singh/gesture_recognition/data/raw/NIR/nir/4_feet/doctor/20260304010154923.mp4,/data/Sajjan_Singh/gesture_recognition/data/processed/frames_trimmed/NIR/4_feet/doctor/4F_S027/PAIR_00027,success,84,24.99530163503101,5.321,1.0,1.0,3.3209999999999997,720,960
PAIR_00028,4F_S028,doctor,4_feet,NIR,/data/Sajjan_Singh/gesture_recognition/data/raw/NIR/nir/4_feet/doctor/20260305234116851.mp4,/data/Sajjan_Singh/gesture_recognition/data/processed/frames_trimmed/NIR/4_feet/doctor/4F_S028/PAIR_00028,success,75,25.03974562798092,5.032,1.0,1.0,3.032,720,960
PAIR_00029,4F_S029,doctor,4_feet,NIR,/data/Sajjan_Singh/gesture_recognition/data/raw/NIR/nir/4_feet/doctor/20260305234654761.mp4,/data/Sajjan_Singh/gesture_recognition/data/processed/frames_trimmed/NIR/4_feet/doctor/4F_S029/PAIR_00029,success,89,25.017869907076484,5.596,1.0,1.0,3.596,720,960
PAIR_00030,4F_S030,doctor,4_feet,NIR,/data/Sajjan_Singh/gesture_recognition/data/raw/NIR/nir/4_feet/doctor/20260305235325420.mp4,/data/Sajjan_Singh/gesture_recognition/data/processed/frames_trimmed/NIR/4_feet/doctor/4F_S030/PAIR_00030,success,102,24.942186983812356,6.054,1.0,1.0,4.054,720,960
PAIR_00031,4F_S031,doctor,4_feet,NIR,/data/Sajjan_Singh/gesture_recognition/data/raw/NIR/nir/4_feet/doctor/20260305235922677.mp4,/data/Sajjan_Singh/gesture_recognition/data/processed/frames_trimmed/NIR/4_feet/doctor/4F_S031/PAIR_00031,success,115,25.071741428787192,6.621,1.0,1.0,4.621,720,960
PAIR_00032,4F_S032,doctor,4_feet,NIR,/data/Sajjan_Singh/gesture_recognition/data/raw/NIR/nir/4_feet/doctor/20260306000042805.mp4,/data/Sajjan_Singh/gesture_recognition/data/processed/frames_trimmed/NIR/4_feet/doctor/4F_S032/PAIR_00032,success,81,25.023696682464454,5.275,1.0,1.0,3.2750000000000004,720,960
