distance,gesture,rgb_count,nir_count,paired_count,rgb_left_unpaired,nir_left_unpaired
4_feet,doctor,34,34,34,0,0
4_feet,emergency,34,34,34,0,0
4_feet,fire,34,34,34,0,0
4_feet,help,34,34,34,0,0
4_feet,robbery,34,34,34,0,0
4_feet,sit_down,34,34,34,0,0
4_feet,stand_up,34,34,34,0,0
6_feet,doctor,35,35,35,0,0
6_feet,emergency,35,35,35,0,0
6_feet,fire,35,35,35,0,0
6_feet,help,35,35,35,0,0
6_feet,robbery,35,35,35,0,0
6_feet,sit_down,35,35,35,0,0
6_feet,stand_up,35,35,35,0,0
8_feet,doctor,38,38,38,0,0
8_feet,emergency,38,38,38,0,0
8_feet,fire,38,38,38,0,0
8_feet,help,38,38,38,0,0
8_feet,robbery,38,38,38,0,0
8_feet,sit_down,38,38,38,0,0
8_feet,stand_up,38,38,38,0,0
